commit_sha,csdiff_web_error,csdiff_web_has_conflict,csdiff_web_num_conflicts,csdiff_web_success,csdiff_web_time,diff3_error,diff3_has_conflict,diff3_num_conflicts,diff3_success,diff3_time,extension,filepath,slow_diff3_error,slow_diff3_has_conflict,slow_diff3_num_conflicts,slow_diff3_success,slow_diff3_time,triplet_id
,,True,1,True,0.34758663177490234,,True,1,True,0.17969703674316406,,,,False,0,True,0.12590289115905762,triplet_001
,,False,0,True,0.3322453498840332,,True,1,True,0.1700887680053711,,,,True,1,True,0.1185309886932373,triplet_002
,,True,1,True,0.3236837387084961,,True,1,True,0.17403936386108398,,,,False,0,True,0.0879523754119873,triplet_003
,,False,0,True,0.49616360664367676,,True,2,True,0.17270684242248535,,,,False,0,True,0.5092692375183105,triplet_004
,,True,1,True,0.3286566734313965,,True,1,True,0.17265915870666504,,,,False,0,True,0.08467531204223633,triplet_005
,,True,1,True,0.3271641731262207,,True,1,True,0.17295193672180176,,,,False,0,True,0.08164405822753906,triplet_006
,,True,1,True,0.34777379035949707,,True,1,True,0.1723041534423828,,,,False,0,True,0.08478283882141113,triplet_007
,,True,1,True,0.35877370834350586,,True,1,True,0.1736133098602295,,,,False,0,True,0.08422255516052246,triplet_008
,,True,1,True,0.3263206481933594,,True,1,True,0.17242789268493652,,,,False,0,True,0.08256793022155762,triplet_009
,,True,1,True,0.39557719230651855,,True,1,True,0.20195651054382324,,,,False,0,True,0.0833749771118164,triplet_010
,,True,1,True,0.3449432849884033,,True,1,True,0.17174100875854492,,,,False,0,True,0.08591246604919434,triplet_011
,,True,1,True,0.3244445323944092,,True,1,True,0.17330503463745117,,,,False,0,True,0.08199143409729004,triplet_012
,,True,1,True,0.32675814628601074,,True,1,True,0.17312955856323242,,,,False,0,True,0.08507108688354492,triplet_013
,,True,1,True,0.3451251983642578,,True,1,True,0.18838286399841309,,,,False,0,True,0.0874166488647461,triplet_014
,,False,0,True,0.17957568168640137,,False,0,True,0.17119193077087402,,,,False,0,True,0.10309958457946777,triplet_015
,,True,1,True,0.3231697082519531,,True,1,True,0.17182683944702148,,,,False,0,True,0.08469748497009277,triplet_016
,,True,1,True,0.34325551986694336,,True,1,True,0.17048358917236328,,,,False,0,True,0.08605337142944336,triplet_017
,,True,1,True,0.3587508201599121,,True,1,True,0.17112159729003906,,,,False,0,True,0.08281207084655762,triplet_018
,,True,1,True,0.32667040824890137,,True,1,True,0.17469120025634766,,,,False,0,True,0.08642315864562988,triplet_019
,,True,1,True,0.32366085052490234,,True,1,True,0.17519330978393555,,,,False,0,True,0.08497428894042969,triplet_020
,,False,0,True,0.3565051555633545,,True,1,True,0.17354416847229004,,,,True,1,True,0.09784793853759766,triplet_021
,,True,1,True,0.34720921516418457,,True,1,True,0.17030596733093262,,,,True,1,True,0.10146570205688477,triplet_022
,,True,1,True,0.3595008850097656,,True,1,True,0.17105531692504883,,,,True,1,True,0.12628531455993652,triplet_023
,,True,2,True,0.34864091873168945,,True,1,True,0.17216992378234863,,,,True,1,True,0.10215377807617188,triplet_024
,,True,1,True,0.3245413303375244,,True,1,True,0.17291474342346191,,,,True,1,True,0.08903861045837402,triplet_025
,,True,1,True,0.3551359176635742,,True,1,True,0.17185711860656738,,,,True,1,True,0.0820763111114502,triplet_026
,,True,1,True,0.36072707176208496,,True,1,True,0.17609739303588867,,,,True,1,True,0.09153509140014648,triplet_027
,,True,3,True,0.7129876613616943,,True,3,True,0.20383167266845703,,,,True,3,True,0.08459329605102539,triplet_028
,,True,1,True,0.35894155502319336,,True,1,True,0.17369508743286133,,,,True,1,True,0.09488415718078613,triplet_029
,,True,1,True,0.34658026695251465,,True,1,True,0.1725163459777832,,,,False,0,True,0.08570528030395508,triplet_030
,,True,2,True,0.5124239921569824,,True,2,True,0.17267179489135742,,,,False,0,True,0.08646726608276367,triplet_031
,,True,1,True,0.5011823177337646,,True,2,True,0.17451167106628418,,,,True,1,True,0.08647012710571289,triplet_032
,,True,1,True,0.35111260414123535,,True,1,True,0.17034316062927246,,,,False,0,True,0.08487844467163086,triplet_033
,,True,3,True,0.4982583522796631,,True,2,True,0.17194008827209473,,,,True,2,True,0.09003424644470215,triplet_034
,,True,2,True,0.5100710391998291,,True,2,True,0.17344880104064941,,,,True,1,True,0.08351564407348633,triplet_035
,,True,2,True,0.5339241027832031,,True,2,True,0.18802309036254883,,,,True,1,True,0.10133981704711914,triplet_036
